Topics,RPC,NAP,UMass,CV,UCI,NPMI,NAC_UMass,NAC_CV,NAC_UCI,NAC_NPMI,Mean_MCC,Mean_F1,Mean_Accuracy
79,0.09708311787104189,0.9290414611082518,-4.402394073783148,0.4458981799504801,-5.456164583142293,-0.13687347360453844,0.8113036650795638,0.8158324929370055,0.9083843929145108,0.8504878352657095,0.8164079483431254,0.8213908085378673,0.8300000000000001
80,0.16861791065564655,0.9404350297702386,-4.320894843377242,0.4450897608858437,-5.343384215613503,-0.13356481960591918,0.7940520768083627,0.8144403432233375,0.8872323265544463,0.8260491566339694,0.7915909579185728,0.8018366105808561,0.8077777777777777
81,0.1744737981453841,0.9411987559125226,-4.4327755247325715,0.44488961074330435,-5.335292334232193,-0.1318385194571009,0.8160399415462718,0.8142199488003191,0.887892633555262,0.8179005759494092,0.8203036808850577,0.8265903823845001,0.8344444444444445
82,0.10838570412676876,0.9451794261827734,-4.3763415658540135,0.438553661141276,-5.447854371604279,-0.13838368619491276,0.8083583465975588,0.8023204135231407,0.9056361002870315,0.8587137103966068,0.82409178976799,0.8290788018311238,0.8377777777777778
83,0.08699195680379392,0.9482671157515853,-4.692215644832705,0.44556031814583663,-5.6813208548477245,-0.14677511429712453,0.8641089193273437,0.8154381442865631,0.9442356731806404,0.9105569562117932,0.7794809067815287,0.7857119547119548,0.7977777777777778
84,0.09934515222678324,0.9525643688355835,-4.415877529751751,0.44659246842398365,-5.3732704466367975,-0.13357760660308032,0.8127172402268161,0.8171131825190414,0.8939222923810377,0.8297430123080517,0.7897235969382871,0.790677808488954,0.8066666666666666
85,0.12575920900726484,0.958169017934193,-4.18821631769351,0.4508211116317861,-5.265120873339252,-0.12914419954800657,0.7711229384197141,0.8249620301424219,0.8767444947746871,0.8031734061402451,0.7909326949775003,0.7988159106688519,0.8077777777777777
86,0.11954670257516817,0.9529072354628912,-4.582984975764589,0.4535118722297623,-5.62669602636692,-0.1441111905169639,0.8445651215542245,0.8298218872182002,0.9360336082296948,0.894742535131033,0.7842603605076807,0.7896907308377896,0.8022222222222222
87,0.14996533513609084,0.9608152177814706,-4.394788536996879,0.44073029584881873,-5.477326045627003,-0.13862069837677926,0.8111139698894532,0.806348994639609,0.9114209701214342,0.861917780653273,0.817379123822986,0.8239802337325557,0.8322222222222223
88,0.08861148792079869,0.9628356853811383,-4.734253110290979,0.432118179330449,-5.6914071470879675,-0.14604188573357715,0.870117801667711,0.790741441197435,0.9460814347444568,0.9048991746083865,0.7702869190696908,0.7785452129569778,0.788888888888889
89,0.1826537958352709,0.9694944601937305,-4.411536943781031,0.4476698942029887,-5.4458553215644825,-0.13627030276829988,0.8128439053949681,0.8195348962660528,0.9057654466368437,0.8462815085138743,0.7907630949851459,0.7935041309453074,0.8077777777777779
90,0.11734092737341935,0.9779832935702479,-4.542928299569883,0.43809689513189787,-5.587506488199041,-0.14327408470159014,0.8349089633829744,0.8016472883602199,0.9285637981480204,0.8871303239823373,0.7673961328652977,0.7743440311551767,0.7866666666666667
91,0.13426274379702147,0.9681769818743176,-4.579421930796853,0.44081222441864,-5.729912645456878,-0.1474918310501705,0.8426753532922673,0.8066272237515386,0.9524136317909795,0.9147344788859858,0.7954256558552203,0.8013378434431067,0.8122222222222222
92,0.07100059040762398,0.9688086734882418,-4.797321640939076,0.4441568547731383,-5.71802965536971,-0.14729159243870665,0.881902839162503,0.8129103079418811,0.950971526789792,0.9151078117645192,0.7870516173825437,0.7992382660912073,0.8044444444444444
93,0.16781495838204313,0.9809610849407763,-4.53722856725943,0.4399144376499777,-5.609594224269655,-0.14332574327505504,0.8374325707944053,0.8046980281982398,0.9318803082428445,0.8876205302107507,0.7821207998622062,0.7839319612849025,0.7988888888888889
94,0.13521849198656635,0.9786165858018011,-5.044493621607515,0.43723949725786665,-5.8843575971755495,-0.15364815296638282,0.9292665952610577,0.7998306357550224,0.9782595533010735,0.9528604315856299,0.7907642666672619,0.7917479703532335,0.8077777777777777
95,0.17029653614556178,0.9850357620059246,-4.514541879710343,0.4394856568994322,-5.566645747586614,-0.14209130961215194,0.8311572389818387,0.8040762067699717,0.925473182627164,0.8808156309819939,0.7805944184510049,0.7862995670995672,0.7977777777777778
96,0.10549189585905086,0.9890768956025664,-4.613923198323218,0.45356670602881916,-5.631687010615044,-0.1428478440423408,0.8506869897352386,0.8301711533910108,0.936579633804287,0.8873182604950521,0.7919714492020029,0.7996451701033744,0.8088888888888889
97,0.10731177296683965,0.9896230237900758,-4.64395709374389,0.4359888069353981,-5.649717287535282,-0.1444084224137468,0.8572651393260513,0.7978812282874168,0.9400812012867792,0.8985301677354645,0.7739024565941974,0.7854793402904858,0.7933333333333333
98,0.09231910030856658,0.9942043661160987,-4.84987680919564,0.4361467815782015,-5.86437608930384,-0.1528562253124779,0.8932209677087896,0.7981655509094737,0.9740924106068775,0.9465031574293121,0.7494004111734653,0.7592956764597631,0.77
99,0.12603286636643207,0.9853509777945945,-4.764227262616254,0.45127227258016234,-5.725054164166463,-0.14675533145011155,0.8779791496838845,0.826027813207528,0.9516137428933519,0.9099850939653722,0.8032318143051917,0.8153953595424184,0.82
100,0.17628152589641774,0.9927106133667625,-4.63431265469874,0.4560445346366337,-5.590343613532932,-0.140580929491873,0.8524215434474709,0.8345396845606539,0.9300188341843201,0.8727748822110885,0.7962687656662508,0.8014509194509195,0.8133333333333332
