ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI,AbsUMass,AbsCV,AbsUCI,AbsNPMI,NAC_UMass,NAC_CV,NAC_UCI,NAC_NPMI
F1_K091,1,91,-4.210026031064164,0.4393181662133794,-5.446967889758541,-0.1380417677961664,4.210026031064164,0.4393181662133794,5.446967889758541,0.1380417677961664,0.8198240014401724,0.8181973308696312,0.9043018071067606,0.8577267192568264
F1_K092,1,92,-4.065004957100052,0.438613965567654,-5.17252165390621,-0.1266057680625154,4.065004957100052,0.438613965567654,5.17252165390621,0.1266057680625154,0.7915838536897422,0.8168858096691868,0.8587384345923849,0.7866687873745688
F1_K093,1,93,-5.087471120835362,0.3988480889637676,-5.802462363817565,-0.1524577344506298,5.087471120835362,0.3988480889637676,5.802462363817565,0.1524577344506298,0.990690057667009,0.7428248292698744,0.9633207515570267,0.9473007661620132
F1_K094,1,94,-5.106763342847744,0.4209553345414864,-5.949923364745947,-0.1588532519605616,5.106763342847744,0.4209553345414864,5.949923364745947,0.1588532519605616,0.9944468578697064,0.7839979259357279,0.9878021240042616,0.9870395085681775
F1_K095,1,95,-4.669126873829251,0.4256545225107486,-5.712303694432743,-0.1504339725943052,4.669126873829251,0.4256545225107486,5.712303694432743,0.1504339725943052,0.9092253227629035,0.792749813176916,0.9483526721959695,0.9347260603661155
F1_K096,1,96,-4.214972261361601,0.4401684306785363,-5.537094920612755,-0.1412264279051696,4.214972261361601,0.4401684306785363,5.537094920612755,0.1412264279051696,0.8207871874833392,0.8197808850438666,0.9192646338610495,0.8775147016251548
F1_K097,1,97,-5.135280284144493,0.4238715197311041,-6.023396002254676,-0.1609391018106234,5.135280284144493,0.4238715197311041,6.023396002254676,0.1609391018106234,1.0,0.7894291034329677,1.0,1.0
F1_K098,1,98,-4.772576113161428,0.4311153993175611,-5.939501151450074,-0.1582267192261648,4.772576113161428,0.4311153993175611,5.939501151450074,0.1582267192261648,0.9293701315383043,0.8029202890897461,0.9860718354275231,0.9831465283828273
F1_K099,1,99,-4.612040482171904,0.4580073226726651,-5.59255196261934,-0.1420087843224357,4.612040482171904,0.4580073226726651,5.59255196261934,0.1420087843224357,0.8981088133420633,0.8530044913906586,0.9284715732662998,0.8823758969994565
F1_K100,1,100,-4.662244318417682,0.4585838206734371,-5.555915506538412,-0.1398231723829209,4.662244318417682,0.4585838206734371,5.555915506538412,0.1398231723829209,0.9078850735397366,0.8540781759358459,0.922389214399771,0.8687955307930726
F2_K002,2,2,-4.16010266077484,0.4028105453784376,-3.684525011877138,-0.1048402133223936,4.16010266077484,0.4028105453784376,3.684525011877138,0.1048402133223936,0.7563975113713849,0.7349663722481471,0.5728681994184213,0.5885950668008931
F2_K003,2,3,-3.361869955896946,0.3988580456684734,-3.1597177665651457,-0.0598683236247531,3.361869955896946,0.3988580456684734,3.1597177665651457,0.0598683236247531,0.611261373949134,0.7277546584375887,0.4912714180980376,0.3361133941497069
F2_K004,2,4,-3.3466648193737933,0.415794905106316,-2.8963184803269346,-0.0478130777431308,3.3466648193737933,0.415794905106316,2.8963184803269346,0.0478130777431308,0.6084967480819367,0.7586575786345094,0.45031822213682837,0.2684327015019836
F2_K005,2,5,-2.754130785772985,0.5262990770178526,-2.261027418729748,-0.0119204380950023,2.754130785772985,0.5262990770178526,2.261027418729748,0.0119204380950023,0.5007611211118508,0.9602830109374424,0.35154346951861126,0.06692385330472352
F2_K006,2,6,-3.2245122010208545,0.4818768023571961,-2.6166614126458856,-0.0238832372062725,3.2245122010208545,0.4818768023571961,2.6166614126458856,0.0238832372062725,0.5862867345164415,0.8792303214561377,0.40683727403615083,0.1340855302880701
