Fold,Topics,DictionarySize,Documents,TrainingTime,LogPerplexityTrain,Status
5,7,882,240,2.3185,-6.157064077316224,Success
5,8,882,240,2.875,-6.158716773775374,Success
5,9,882,240,3.4561,-6.178477338508348,Success
5,10,882,240,2.3144,-6.194261009684347,Success
5,11,882,240,2.2979,-6.179703905940436,Success
5,12,882,240,2.7779,-6.198250143853292,Success
5,13,882,240,3.6139,-6.208534069706509,Success
5,14,882,240,2.4752,-6.228819131096042,Success
5,15,882,240,2.3407,-6.235949427900669,Success
5,16,882,240,2.7976,-6.226258544689025,Success
5,17,882,240,3.5812,-6.248168092776306,Success
5,18,882,240,2.4423,-6.251828021095413,Success
5,19,882,240,2.3363,-6.219687431962057,Success
5,20,882,240,2.6025,-6.28210191444257,Success
5,21,882,240,3.597,-6.265414602508678,Success
5,22,882,240,2.3974,-6.2965296629380845,Success
5,23,882,240,2.3683,-6.3165955079919085,Success
5,24,882,240,2.6644,-6.323778589358608,Success
5,25,882,240,3.6998,-6.303012318501221,Success
5,26,882,240,2.3029,-6.325828301679382,Success
5,27,882,240,2.3157,-6.308702178994661,Success
5,28,882,240,2.4583,-6.330453895161274,Success
5,29,882,240,4.3125,-6.351329112993248,Success
5,30,882,240,2.5994,-6.408653137943773,Success
5,31,882,240,2.4282,-6.3476861912215,Success
5,32,882,240,2.7815,-6.375953313687621,Success
5,33,882,240,4.0924,-6.421199852242611,Success
5,34,882,240,2.4548,-6.445721552762557,Success
5,35,882,240,2.4726,-6.43108086134482,Success
5,36,882,240,3.0683,-6.439895931809855,Success
5,37,882,240,3.6478,-6.458454080197705,Success
5,38,882,240,3.2594,-6.475252578239997,Success
5,39,882,240,4.243,-6.481202312656813,Success
5,40,882,240,4.693,-6.4673973556275115,Success
5,41,882,240,3.5409,-6.470314540155294,Success
5,42,882,240,4.8625,-6.505940498418714,Success
5,43,882,240,4.7141,-6.493743096963286,Success
5,44,882,240,3.8924,-6.4982998301518755,Success
5,45,882,240,5.5921,-6.507479539504066,Success
5,46,882,240,3.9511,-6.5263960201847695,Success
5,47,882,240,4.1604,-6.526101662475815,Success
5,48,882,240,5.0741,-6.510714821636486,Success
5,49,882,240,3.89,-6.519156217939517,Success
5,50,882,240,4.1191,-6.568670779739141,Success
5,51,882,240,3.8515,-6.573344066668492,Success
5,52,882,240,2.9059,-6.595571400879027,Success
5,53,882,240,3.1309,-6.610675494973849,Success
5,54,882,240,4.6774,-6.58338236656761,Success
5,55,882,240,3.0203,-6.619725208198025,Success
5,56,882,240,3.0834,-6.597658933732457,Success
5,57,882,240,4.6064,-6.608481482329631,Success
5,58,882,240,2.8669,-6.637740055583208,Success
5,59,882,240,2.9065,-6.604593855212199,Success
5,60,882,240,3.3943,-6.60825310554735,Success
5,61,882,240,3.9948,-6.603608831269134,Success
5,62,882,240,2.9174,-6.641449863937992,Success
5,63,882,240,3.0229,-6.647600022817585,Success
5,64,882,240,4.9176,-6.655906866018213,Success
5,65,882,240,3.0168,-6.660920443284796,Success
5,66,882,240,3.1983,-6.61047184832088,Success
5,67,882,240,4.7753,-6.6716682446171065,Success
5,68,882,240,3.1393,-6.685375075948597,Success
5,69,882,240,3.0362,-6.673304957106104,Success
5,70,882,240,4.6098,-6.71012761510586,Success
5,71,882,240,3.5163,-6.680301419314511,Success
5,72,882,240,3.3492,-6.705618738254761,Success
5,73,882,240,4.7211,-6.716601593806721,Success
5,74,882,240,3.6488,-6.728328426822345,Success
5,75,882,240,4.0156,-6.706098326048794,Success
5,76,882,240,6.9516,-6.7127930404259475,Success
5,77,882,240,6.5432,-6.721603748349087,Success
5,78,882,240,8.6538,-6.7007885183829154,Success
5,79,882,240,7.8041,-6.698301214635721,Success
5,80,882,240,6.819,-6.7454194123654085,Success
5,81,882,240,10.0635,-6.7448306022643045,Success
5,82,882,240,13.7577,-6.764837212091476,Success
5,83,882,240,14.4715,-6.752673255089846,Success
5,84,882,240,11.8404,-6.752093953991483,Success
5,85,882,240,12.8708,-6.797811986503194,Success
5,86,882,240,12.7418,-6.759719109409139,Success
5,87,882,240,11.9759,-6.7796343029648565,Success
5,88,882,240,10.0056,-6.764034005534325,Success
5,89,882,240,11.4184,-6.8518504788037164,Success
5,90,882,240,11.9565,-6.824678522362194,Success
5,91,882,240,12.7565,-6.810691054170452,Success
5,92,882,240,13.7715,-6.790594967163199,Success
5,93,882,240,13.2452,-6.802245405991723,Success
5,94,882,240,13.1541,-6.783054837768031,Success
5,95,882,240,13.4768,-6.770735027103339,Success
5,96,882,240,12.2563,-6.821335889710142,Success
5,97,882,240,12.155,-6.84780214627934,Success
5,98,882,240,12.4533,-6.866814261532387,Success
5,99,882,240,9.5767,-6.838588574177055,Success
5,100,882,240,5.1981,-6.803720644133146,Success
