ExperimentID,Fold,Topics,LogPerplexityTrain,Perplexity
F2_K004,2,4,-6.144477733992548,70.74114837085754
F2_K005,2,5,-6.147573660835762,70.89311713202686
F2_K006,2,6,-6.14669238490518,70.84982501698484
F2_K007,2,7,-6.146281273522801,70.8296384778871
F2_K008,2,8,-6.158267852564046,71.42057543121659
F2_K009,2,9,-6.153823916859085,71.20091700603477
F2_K010,2,10,-6.17222623627915,72.11493844407157
F2_K011,2,11,-6.20503959035521,73.77395066790531
F2_K012,2,12,-6.184686067026117,72.74045611386752
F2_K013,2,13,-6.20758185032387,73.90406680620353
F2_K014,2,14,-6.192571828613075,73.13914358658255
F2_K015,2,15,-6.178621301521654,72.4353134199504
F2_K016,2,16,-6.220125351335385,74.54942662300746
F2_K017,2,17,-6.234631505690485,75.30279482595195
F2_K018,2,18,-6.238592274051105,75.50981481997478
F2_K019,2,19,-6.2838059025778294,77.91374212391729
F2_K020,2,20,-6.2436717682666725,75.7761411476537
F2_K021,2,21,-6.264228706043236,76.86360334581379
F2_K022,2,22,-6.312270469304049,79.46625600042968
F2_K023,2,23,-6.271627658532492,77.25881575199138
F2_K024,2,24,-6.294077956047766,78.47047108190543
F2_K025,2,25,-6.297854025669204,78.67612651764485
F2_K026,2,26,-6.315776231684561,79.6595945544282
F2_K027,2,27,-6.324294488198158,80.1313283849465
F2_K028,2,28,-6.3719942574705,82.8249922081457
F2_K029,2,29,-6.377695427633841,83.1529434369984
F2_K030,2,30,-6.35124757863741,81.64245039843337
F2_K031,2,31,-6.394516527522592,84.12813910986728
F2_K032,2,32,-6.380132411556918,83.29352313511299
F2_K033,2,33,-6.3933378875065365,84.05943692725879
F2_K034,2,34,-6.3995085603232,84.4197446470157
F2_K035,2,35,-6.382319383782466,83.41988300629363
F2_K036,2,36,-6.384740588356123,83.56000006161112
F2_K037,2,37,-6.443977481550268,87.06237562158455
F2_K038,2,38,-6.396213920240833,84.2271777312737
F2_K039,2,39,-6.41725195493712,85.46441577173759
F2_K040,2,40,-6.467223862044976,88.47658900712715
F2_K041,2,41,-6.4325624974635875,86.37623316780811
F2_K042,2,42,-6.504403612683891,90.78635739416144
F2_K043,2,43,-6.492472794089844,90.03866706193776
F2_K044,2,44,-6.475899947927017,89.01027304064709
