ExperimentID,Fold,Topics,LogPerplexityTest,PerplexityTest,DeltaLogPerplexity,RPC
F3_K010,3,10,-7.5472379253857,187.04452479032537,-0.07717323839718127,0.07717323839718127
F3_K011,3,11,-7.6642686376343105,202.84987982718812,-0.11703071224861095,0.11703071224861095
F3_K012,3,12,-7.8140026260666975,225.03453721232472,-0.14973398843238694,0.14973398843238694
F3_K013,3,13,-7.884827956436562,236.3576838551264,-0.07082533036986494,0.07082533036986494
F3_K014,3,14,-8.040978422688536,263.3756980778274,-0.15615046625197326,0.15615046625197326
F3_K015,3,15,-8.063464321390558,267.5128385911383,-0.022485898702022666,0.022485898702022666
F3_K016,3,16,-8.141033308930917,282.28982317545706,-0.07756898754035824,0.07756898754035824
F3_K017,3,17,-8.27893799870643,310.6051625625805,-0.13790468977551384,0.13790468977551384
F3_K018,3,18,-8.340818531388747,324.2175848555769,-0.061880532682316414,0.061880532682316414
F3_K019,3,19,-8.487184566919273,358.83693076880445,-0.14636603553052652,0.14636603553052652
F3_K020,3,20,-8.629660410080591,396.0833949683148,-0.14247584316131778,0.14247584316131778
F3_K021,3,21,-8.62556335794078,394.96016918005387,0.0040970521398104864,0.0040970521398104864
F3_K022,3,22,-8.709986717179484,418.76199844322514,-0.08442335923870381,0.08442335923870381
F3_K023,3,23,-8.882512014261996,471.95713178689107,-0.17252529708251174,0.17252529708251174
F3_K024,3,24,-8.898024440026305,477.05918137350517,-0.015512425764308446,0.015512425764308446
F3_K025,3,25,-9.01702068481866,518.0762668551176,-0.11899624479235449,0.11899624479235449
F3_K026,3,26,-9.065315991935163,535.7128129229347,-0.048295307116504205,0.048295307116504205
F3_K027,3,27,-9.036595538111015,525.1535621220961,0.028720453824147896,0.028720453824147896
F3_K028,3,28,-9.31782833205806,638.1838687182645,-0.28123279394704426,0.28123279394704426
F3_K029,3,29,-9.356012942713729,655.3005546978758,-0.03818461065566936,0.03818461065566936
F3_K030,3,30,-9.52822300676394,738.3817098341917,-0.17221006405021022,0.17221006405021022
F3_K031,3,31,-9.528058903159375,738.2977252044027,0.00016410360456475814,0.00016410360456475814
F3_K032,3,32,-9.665581076344749,812.1379960053536,-0.13752217318537419,0.13752217318537419
F3_K033,3,33,-9.722710070150807,844.9429180964519,-0.057128993806058403,0.057128993806058403
F3_K034,3,34,-9.86672117879646,933.6391051045097,-0.14401110864565325,0.14401110864565325
F3_K035,3,35,-9.889866025623816,948.7380677097573,-0.02314484682735518,0.02314484682735518
F3_K036,3,36,-9.984911591149901,1013.3463160543956,-0.09504556552608534,0.09504556552608534
F3_K037,3,37,-10.003265207464045,1026.3202124544346,-0.018353616314144006,0.018353616314144006
F3_K038,3,38,-10.026075533442837,1042.6762332709147,-0.02281032597879218,0.02281032597879218
F3_K039,3,39,-10.096858285012061,1095.1086409071943,-0.07078275156922409,0.07078275156922409
F3_K040,3,40,-10.165636113857387,1148.580384937677,-0.06877782884532557,0.06877782884532557
F3_K041,3,41,-10.283416793957473,1246.2836940435127,-0.11778068010008624,0.11778068010008624
F3_K042,3,42,-10.42333254220784,1373.206182279173,-0.1399157482503668,0.1399157482503668
F3_K043,3,43,-10.463637676301246,1412.1108967289028,-0.040305134093406636,0.040305134093406636
F3_K044,3,44,-10.429348981509222,1378.9447912068288,0.0342886947920249,0.0342886947920249
F3_K045,3,45,-10.474361033025462,1422.6460302610142,-0.04501205151623999,0.04501205151623999
F3_K046,3,46,-10.610699094382628,1563.646951113616,-0.13633806135716675,0.13633806135716675
F3_K047,3,47,-10.684922017566155,1646.197844204265,-0.07422292318352675,0.07422292318352675
F3_K048,3,48,-10.802862128730727,1786.4280931143614,-0.1179401111645717,0.1179401111645717
F3_K049,3,49,-10.839548201468697,1832.4374040251519,-0.036686072737969866,0.036686072737969866
F3_K050,3,50,-10.924364172103274,1943.3959769681844,-0.08481597063457791,0.08481597063457791
F3_K051,3,51,-11.051925009108148,2123.0534962827696,-0.1275608370048733,0.1275608370048733
F3_K052,3,52,-10.967629532976048,2002.5596939445225,0.08429547613209998,0.08429547613209998
F3_K053,3,53,-11.152051046074885,2275.6311922518844,-0.1844215130988367,0.1844215130988367
F3_K054,3,54,-11.259707212662718,2451.9387285504895,-0.10765616658783372,0.10765616658783372
