ExperimentID,Fold,Topics,MeanLogPerplexity,PerplexityTest,AbsLogPerplexity,NAP
F1_K092,1,92,-13.379424380047096,10656.33986537394,13.379424380047096,0.9737301272313142
F1_K093,1,93,-13.659252904464712,12937.335556069316,13.659252904464712,0.9940955373524301
F1_K094,1,94,-13.450540097598893,11194.791961064566,13.450540097598893,0.9789057995721309
F1_K095,1,95,-13.740382479578708,13685.708272645395,13.740382479578708,1.0
F1_K096,1,96,-13.620116122796608,12591.094903935098,13.620116122796608,0.9912472336952161
F1_K097,1,97,-13.677216850843338,13099.433946555255,13.677216850843338,0.9954029206370895
F1_K098,1,98,-13.649007068619836,12845.781738536687,13.649007068619836,0.99334986408896
F1_K099,1,99,-13.483010666790218,11449.608647553678,13.483010666790218,0.9812689484320395
F1_K100,1,100,-13.717721651476133,13472.422353075204,13.717721651476133,0.9983507862218353
F2_K002,2,2,-6.615859152569155,98.07810181699769,6.615859152569155,0.4841704152408433
F2_K003,2,3,-6.7099759929630745,104.68972140101889,6.7099759929630745,0.49105819635041914
F2_K004,2,4,-6.871386695849268,117.0829098185323,6.871386695849268,0.5028707644898688
F2_K005,2,5,-7.02709505831796,130.42666661929917,7.02709505831796,0.5142660165311191
F2_K006,2,6,-7.139254213320582,140.9709624732875,7.139254213320582,0.5224741937909982
F2_K007,2,7,-7.247900016727059,151.99710301833397,7.247900016727059,0.5304252523816367
F2_K008,2,8,-7.380841902882288,166.66899091411918,7.380841902882288,0.5401543785220689
F2_K009,2,9,-7.4902682968446515,179.80237869024378,7.4902682968446515,0.5481625633067301
F2_K010,2,10,-7.6060579797867955,194.82810244431607,7.6060579797867955,0.5566364345875194
F2_K011,2,11,-7.772156427294443,218.60103588392758,7.772156427294443,0.5687920673550955
F2_K012,2,12,-7.850361650868466,230.77796196978883,7.850361650868466,0.574515383813115
F2_K013,2,13,-7.995268313964588,255.16175812762248,7.995268313964588,0.5851201318321487
F2_K014,2,14,-8.06995547000301,268.7191766358875,8.06995547000301,0.5905859844929082
F2_K015,2,15,-8.145071930748424,283.08116092722844,8.145071930748424,0.5960832550894877
F2_K016,2,16,-8.297094479759345,314.5388649599542,8.297094479759345,0.6072087671330756
F2_K017,2,17,-8.404697259590387,338.8956384975702,8.404697259590387,0.6150834938148904
F2_K018,2,18,-8.517939916638095,366.5687310835468,8.517939916638095,0.6233709653316432
F2_K019,2,19,-8.710345196324672,418.86606485437267,8.710345196324672,0.6374518189308623
F2_K020,2,20,-8.70828011207033,418.2669258077838,8.70828011207033,0.6373006892471924
F2_K021,2,21,-8.827759705776232,454.381316961316,8.827759705776232,0.6460446003800239
F2_K022,2,22,-8.99599476322603,510.5805473554856,8.99599476322603,0.6583565973172476
F2_K023,2,23,-8.977767468468425,504.17035075442175,8.977767468468425,0.6570226637089301
F2_K024,2,24,-9.124053369925923,557.9737223125732,9.124053369925923,0.667728348944846
F2_K025,2,25,-9.149716366421092,567.9878924063573,9.149716366421092,0.6696064517555089
F2_K026,2,26,-9.248916387843174,608.4168876436913,9.248916387843174,0.676866236834999
F2_K027,2,27,-9.389577755004025,670.7250876161861,9.389577755004025,0.6871603000815188
F2_K028,2,28,-9.545862669522682,747.4652346785825,9.545862669522682,0.6985977461052895
F2_K029,2,29,-9.65422978623632,805.7730738776164,9.65422978623632,0.7065284094836535
F2_K030,2,30,-9.687213017780815,824.407041842235,9.687213017780815,0.7089422312631999
F2_K031,2,31,-9.818396902825844,902.884041833893,9.818396902825844,0.7185427010782948
F2_K032,2,32,-9.850744754332675,923.3570100900996,9.850744754332675,0.7209100236489588
F2_K033,2,33,-9.891538811813701,949.8387551883852,9.891538811813701,0.7238954674582149
F2_K034,2,34,-9.970987312132092,1003.6129749368713,9.970987312132092,0.7297097710131023
F2_K035,2,35,-10.042517696927039,1054.6274202221848,10.042517696927039,0.7349446007320901
F2_K036,2,36,-10.106637290961434,1102.556819739754,10.106637290961434,0.7396370843162746
F2_K037,2,37,-10.31614682007064,1274.8809524100232,10.31614682007064,0.7549696833584302
F2_K038,2,38,-10.23802191327063,1207.6794939270478,10.23802191327063,0.7492522447471012
F2_K039,2,39,-10.270232842926774,1234.946512946136,10.270232842926774,0.7516095469246804
F2_K040,2,40,-10.52656262525531,1475.064806890169,10.52656262525531,0.7703686066758856
F2_K041,2,41,-10.50306494275919,1451.2344997160817,10.50306494275919,0.7686489686925216
F2_K042,2,42,-10.762650613864643,1737.3233936875897,10.762650613864643,0.7876463051338353
F2_K043,2,43,-10.80101602636456,1784.1436047873756,10.80101602636456,0.7904540126851299
F2_K044,2,44,-10.849287108941512,1844.8491113205464,10.849287108941512,0.7939866498765267
F2_K045,2,45,-10.866374810916955,1866.8299605491543,10.866374810916955,0.7952371843226461
F2_K046,2,46,-10.785191625214079,1764.6809123433607,10.785191625214079,0.7892959307642066
F2_K047,2,47,-10.92676074430703,1946.6269850796514,10.92676074430703,0.7996564262940875
F2_K048,2,48,-10.993446187824723,2038.717534781394,10.993446187824723,0.8045366872146882
F2_K049,2,49,-11.307329900070812,2534.2267499664295,11.307329900070812,0.8275077335732718
F2_K050,2,50,-11.183297553301998,2325.455396803032,11.183297553301998,0.8184306369402468
F2_K051,2,51,-11.289370667078849,2502.8752454545593,11.289370667078849,0.8261934176099779
F2_K052,2,52,-11.393975512376812,2691.091094706979,11.393975512376812,0.8338487455448919
