ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI
F2_K074,2,74,-4.6551562864118265,0.44447444243858303,-5.657164222727168,-0.14694323951239013
F2_K075,2,75,-4.402431655988863,0.42862735703173155,-5.329708596906386,-0.13751735167095955
F2_K076,2,76,-4.5133281823225575,0.4646499922498591,-5.502955439733267,-0.13941758252553668
F2_K077,2,77,-4.419819928124081,0.45709153497653654,-5.498031095672194,-0.14303501565533
F2_K078,2,78,-4.836641832690791,0.4450245838596887,-5.737629967010757,-0.1496450928606737
F2_K079,2,79,-4.275216232345698,0.4503319430445506,-5.713989620309817,-0.15160590154650525
F2_K080,2,80,-4.972468641865023,0.4498741350625671,-5.950976163013042,-0.16064557479328406
F2_K081,2,81,-4.9535770706742275,0.44655326281223573,-5.893687910638709,-0.15698380735425982
F2_K082,2,82,-4.664295503132861,0.4455432235275956,-5.849730643604549,-0.15499204958801385
F2_K083,2,83,-5.342253395749864,0.434173763330263,-6.221508999651059,-0.17055026845953586
F2_K084,2,84,-4.667297511027888,0.44973460431434453,-5.5604855422521755,-0.14474601454466043
F2_K085,2,85,-4.127971833725563,0.44778162557653556,-5.514465294364274,-0.13854861813757363
F2_K086,2,86,-4.832838634051623,0.4534710204485415,-5.8413238695277645,-0.15432365285820365
F2_K087,2,87,-4.280940634137126,0.4694391785274467,-5.56002589246414,-0.1436857453454091
F2_K088,2,88,-5.0678291567739615,0.4444138321035181,-6.166041827013819,-0.1666328768612044
F2_K089,2,89,-4.791108275049944,0.4572071324181045,-5.864499140429745,-0.15519600267019804
F2_K090,2,90,-5.0303320635018,0.43235404809383954,-6.016458860487848,-0.16227732341674508
F2_K091,2,91,-5.009574633097102,0.46087157841983156,-6.227371085104879,-0.16816514935574015
F2_K092,2,92,-4.887351452481153,0.4546800186829765,-5.967140811185531,-0.1595757179631371
F2_K093,2,93,-5.254322991670253,0.44150128071202754,-6.3120254703411005,-0.1737040522333608
F2_K094,2,94,-5.176495460029038,0.4515438209793797,-6.233999138503323,-0.1701166453120026
F2_K095,2,95,-4.714541191847451,0.44731033783467605,-5.82661865612212,-0.15481807097988348
F2_K096,2,96,-4.9542255920765745,0.4606236344816579,-5.9765681656316305,-0.16014078533709933
F2_K097,2,97,-4.395029630645922,0.4713608813048268,-5.61132562027781,-0.14213994939141086
F2_K098,2,98,-5.499889407663935,0.45232753072780074,-6.431715036054867,-0.17811942239376333
F2_K099,2,99,-5.294728419729275,0.45774411216084765,-6.289040829789878,-0.17302712909852921
F2_K100,2,100,-4.556334761681549,0.4731413211580337,-5.726570673084256,-0.14842938609971693
F3_K002,3,2,-3.8851930936545793,0.35907365882787406,-3.0310396679462266,-0.07210004569764547
F3_K003,3,3,-3.985589323832919,0.4120869340853612,-3.5053607850350677,-0.06790788888757153
F3_K004,3,4,-3.753746857419203,0.4431983838423394,-3.049958404035646,-0.04769011144022756
F3_K005,3,5,-3.2794430954536216,0.4260266519524428,-2.571994977770124,-0.034345610130269585
F3_K006,3,6,-2.523765301025278,0.5376716676883747,-2.1600664579570754,-0.005772204803423495
F3_K007,3,7,-2.72533646429742,0.5482875008769668,-2.5625218074028524,-0.00956392304196943
F3_K008,3,8,-3.877479759565065,0.46053618471113694,-3.3609737313889454,-0.04772000185998046
F3_K009,3,9,-3.7435416768746523,0.4604472624072737,-3.3333966707791696,-0.04789951971270456
F3_K010,3,10,-3.25065334007051,0.5028467139046752,-3.2749318967734418,-0.04604623795037316
F3_K011,3,11,-3.648478261685877,0.47085031836467783,-3.817808571905086,-0.06602913786683519
F3_K012,3,12,-3.444045468071895,0.4564064636645933,-3.5519778098592507,-0.06146831000604896
F3_K013,3,13,-3.56494731036215,0.4795719555063402,-3.8174737563867414,-0.06981601362106746
F3_K014,3,14,-3.7146133508652253,0.41986271878539455,-3.8767934357508005,-0.08145920761834617
F3_K015,3,15,-2.986411328766623,0.49999137610301714,-3.339284697223655,-0.04668896592587114
F3_K016,3,16,-3.152990022418851,0.5125293438365081,-3.5369706794642504,-0.057438817118075074
F3_K017,3,17,-3.1204651664179295,0.4825369200245859,-3.657571223282318,-0.06842375021784344
F3_K018,3,18,-3.223358900679308,0.4959718105113462,-3.5597962432150445,-0.05805666527205798
F3_K019,3,19,-3.563880985160078,0.44822461059224306,-3.8938881207054563,-0.07522267483678102
F3_K020,3,20,-3.442911197404242,0.46056998520099157,-3.848195362091802,-0.07648853126622118
F3_K021,3,21,-3.8294174496106255,0.46278636523925476,-4.091704467104291,-0.08113481881995514
F3_K022,3,22,-3.4342888280900628,0.4918229198174017,-3.7920180581847593,-0.06896388476717452
F3_K023,3,23,-3.7441756650456814,0.4628598454008639,-4.403751258859845,-0.09840786424953295
F3_K024,3,24,-3.6644493340694972,0.48072479890703285,-4.324124403739327,-0.08907728254774856
F3_K025,3,25,-3.5935578068774197,0.49551897051206867,-3.9781135598097963,-0.07660592122721716
F3_K026,3,26,-3.388670777903431,0.4927547397603246,-4.179387326569127,-0.08655238477369906
F3_K027,3,27,-3.8481096830626402,0.48301617475710334,-4.440659789246248,-0.09392824668174694
F3_K028,3,28,-3.506625207962258,0.4678025422384808,-4.334209859124375,-0.09714241211519502
F3_K029,3,29,-3.271026749732485,0.4753386773449229,-4.021010982393435,-0.07998647908387836
F3_K030,3,30,-3.57115347601513,0.44555448820127125,-4.508318026136561,-0.10598124075406072
F3_K031,3,31,-3.6655807518665595,0.4661617057685404,-4.38174075337211,-0.09896546371569888
F3_K032,3,32,-3.7943519464258717,0.45467523688489664,-4.335622398494865,-0.08958324429710146
F3_K033,3,33,-3.921841391122224,0.4554186393317167,-4.51960675678311,-0.10287331410746099
