ExperimentID,Fold,Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC
F2_K010,2,10,0.7,0.7,0.7035714285714286,0.7,0.686946386946387,0.6701923821340353
F2_K011,2,11,0.7,0.7,0.7396825396825397,0.7,0.6904817404817405,0.6714501731350815
F2_K012,2,12,0.75,0.75,0.7978354978354979,0.75,0.7277545983428336,0.7308447219384806
F2_K013,2,13,0.7333333333333333,0.7333333333333332,0.7736111111111111,0.7333333333333332,0.7256709956709957,0.7085311633235617
F2_K014,2,14,0.7666666666666667,0.7666666666666667,0.8078354978354978,0.7666666666666667,0.7543635449517803,0.7479314410149563
F2_K015,2,15,0.7333333333333333,0.7333333333333333,0.7190476190476189,0.7333333333333333,0.7168531468531468,0.7098650794651822
F2_K016,2,16,0.8,0.7999999999999999,0.840079365079365,0.7999999999999999,0.7895604395604396,0.7826237921249264
F2_K017,2,17,0.7666666666666667,0.7666666666666667,0.7204365079365079,0.7666666666666667,0.7342124542124542,0.7474611917128793
F2_K018,2,18,0.95,0.9500000000000002,0.9523809523809523,0.9500000000000002,0.94988344988345,0.944736074664285
F2_K019,2,19,0.8666666666666667,0.8666666666666666,0.8980952380952381,0.8666666666666666,0.8562820512820514,0.8568916545602121
F2_K020,2,20,0.9166666666666666,0.9166666666666667,0.9357142857142857,0.9166666666666667,0.9122211122211121,0.9102210805397429
F2_K021,2,21,0.85,0.85,0.8672619047619048,0.85,0.838064158064158,0.8377404776675441
F2_K022,2,22,0.8833333333333333,0.8833333333333332,0.893095238095238,0.8833333333333332,0.8806327006327006,0.8719866584298704
F2_K023,2,23,0.8833333333333333,0.8833333333333334,0.9214285714285715,0.8833333333333334,0.8789335664335665,0.8752464330065992
F2_K024,2,24,0.8666666666666667,0.8666666666666668,0.8833333333333332,0.8666666666666668,0.8550116550116551,0.8547587535434789
F2_K025,2,25,0.9,0.9,0.9130952380952382,0.9,0.8988145188145189,0.8905395660560379
F2_K026,2,26,0.9166666666666666,0.9166666666666666,0.9285714285714286,0.9166666666666666,0.9170629370629371,0.9085297422920523
F2_K027,2,27,0.8666666666666667,0.8666666666666666,0.9016666666666666,0.8666666666666666,0.8649567099567099,0.8563569327268229
F2_K028,2,28,0.8333333333333334,0.8333333333333333,0.8357142857142857,0.8333333333333333,0.8278921078921078,0.8168341854825404
F2_K029,2,29,0.9,0.9000000000000001,0.9071428571428571,0.9000000000000001,0.901048951048951,0.8894380943097694
F2_K030,2,30,0.9333333333333333,0.9333333333333333,0.9440476190476191,0.9333333333333333,0.9322644022644024,0.9273581401244287
F2_K031,2,31,0.9166666666666666,0.9166666666666666,0.9321428571428572,0.9166666666666666,0.9093040293040293,0.9102210805397429
F2_K032,2,32,0.9,0.9,0.9028571428571428,0.9,0.8979020979020979,0.8897130790417405
F2_K033,2,33,0.8666666666666667,0.8666666666666666,0.8775000000000001,0.8666666666666666,0.8644155844155843,0.8536982584036706
F2_K034,2,34,0.9333333333333333,0.9333333333333333,0.9404761904761905,0.9333333333333333,0.9325641025641026,0.9267844573351464
