Topics,Accuracy,BalancedAccuracy,Precision,Recall,F1,MCC,AccuracyStd,BalancedAccuracyStd,PrecisionStd,RecallStd,F1Std,MCCStd
58,0.73,0.73,0.7504090909090909,0.73,0.7200571519983285,0.7047807441519968,0.03613247231446468,0.036132472314464675,0.044002850666040726,0.036132472314464675,0.03658260044607086,0.03877894005082278
59,0.7466666666666667,0.7466666666666667,0.7696111111111111,0.7466666666666667,0.7339521589521589,0.7228366440098999,0.08283182426526116,0.08283182426526131,0.085733208155298,0.08283182426526131,0.09181005640424283,0.08998039296474025
60,0.7266666666666667,0.7266666666666667,0.7623333333333334,0.7266666666666667,0.7224731934731935,0.7007977624894028,0.03248931448269656,0.03248931448269656,0.03153150981337734,0.03248931448269656,0.033873609577929675,0.035879472778979744
61,0.71,0.71,0.7093441558441558,0.71,0.694107513401631,0.6815200734124085,0.08866290718846924,0.08866290718846928,0.08714262985908083,0.08866290718846928,0.08383118062218692,0.09862900505098275
62,0.75,0.75,0.7601825396825397,0.75,0.7392316572316572,0.7255779396438407,0.08897565210026093,0.08897565210026093,0.09799048414832467,0.08897565210026093,0.09294314143974591,0.09880724415743525
63,0.7266666666666667,0.7266666666666668,0.7316709956709957,0.7266666666666668,0.712086622527799,0.7006028187256528,0.10839741694339403,0.10839741694339403,0.14361541416075327,0.10839741694339403,0.12275004661057758,0.12042715575429098
64,0.74,0.74,0.7599126984126985,0.74,0.7276201021201021,0.7154945989184827,0.034560735588879544,0.03456073558887959,0.04054970564773455,0.03456073558887959,0.03299317449278339,0.03854394427662553
65,0.7233333333333334,0.7233333333333334,0.7678203463203463,0.7233333333333334,0.7174010531951709,0.6982941392772603,0.06411794687223785,0.06411794687223783,0.061378489082570126,0.06411794687223783,0.0657345287388458,0.07028722759703773
66,0.7333333333333334,0.7333333333333334,0.7494249639249639,0.7333333333333334,0.7254830039241804,0.708937694419218,0.08740073734751264,0.08740073734751264,0.09213353903873568,0.08740073734751264,0.09420859829543136,0.09574756421295152
67,0.7533333333333333,0.7533333333333333,0.7641349206349206,0.7533333333333333,0.743026085026085,0.7297162720468744,0.10096754153907304,0.10096754153907307,0.10535103112037146,0.10096754153907307,0.10637993964017403,0.11152941358207673
68,0.7466666666666667,0.7466666666666667,0.7658571428571429,0.7466666666666667,0.7404505494505494,0.7216325966027822,0.10233387622005832,0.10233387622005834,0.10989103592660279,0.10233387622005834,0.10799866936939898,0.11333357136353403
69,0.7433333333333334,0.7433333333333334,0.7575238095238095,0.7433333333333334,0.7250705405705405,0.7194048007940523,0.0584522597225006,0.05845225972250057,0.05586438115322372,0.05845225972250057,0.06429580910300726,0.06405206423144544
70,0.7766666666666666,0.7766666666666666,0.8022380952380953,0.7766666666666666,0.7720875235875236,0.755070385832488,0.09545214042184237,0.09545214042184236,0.08084224826356819,0.09545214042184236,0.09641040015790323,0.10462571313354604
71,0.7466666666666667,0.7466666666666667,0.7762222222222223,0.7466666666666667,0.7411206571206571,0.7239773471391822,0.05939509893735154,0.05939509893735157,0.05400210043925927,0.05939509893735157,0.05515004023842738,0.06472968068892512
72,0.7266666666666667,0.7266666666666667,0.7638438228438229,0.7266666666666667,0.713165095310606,0.7027027626488587,0.08130873945100311,0.08130873945100311,0.07765264555729086,0.08130873945100311,0.07957723753646061,0.08895462864521966
73,0.6933333333333334,0.6933333333333334,0.7282301587301587,0.6933333333333334,0.6842176157176157,0.6635659290393271,0.050826502273256365,0.05082650227325635,0.07050473221744886,0.05082650227325635,0.05980776151295597,0.057142128786002014
74,0.7233333333333334,0.7233333333333334,0.7430238095238095,0.7233333333333334,0.7078428238428238,0.6968047739436154,0.0651920240520265,0.06519202405202652,0.07054360514431747,0.06519202405202652,0.06993359117722288,0.07274759540657713
75,0.71,0.71,0.7135714285714286,0.71,0.6979913419913419,0.6806356871061217,0.09689627902499091,0.0968962790249909,0.11840544056760681,0.0968962790249909,0.10566187632394065,0.10775067257892965
76,0.7466666666666667,0.7466666666666667,0.7633333333333334,0.7466666666666667,0.7425453435453435,0.7215761213565637,0.03205897343611894,0.03205897343611894,0.03818506893794897,0.03205897343611894,0.034372257196592856,0.03517635743483961
77,0.7266666666666667,0.7266666666666666,0.731563492063492,0.7266666666666666,0.7177240537240537,0.6985840975697196,0.08215838362577498,0.08215838362577482,0.08697529934350995,0.08215838362577482,0.08212093669695184,0.09155220868946505
78,0.7133333333333333,0.7133333333333333,0.7365965700965701,0.7133333333333333,0.6973383460364884,0.6873808720465945,0.06603870918719652,0.06603870918719652,0.07659355369610087,0.06603870918719652,0.0673820228130453,0.07306757731155433
79,0.73,0.73,0.7632698412698413,0.73,0.7180414585414585,0.7051974152780351,0.04772607021092116,0.04772607021092121,0.06483466748652054,0.04772607021092121,0.05739581268972741,0.0519968446386708
